time_ms,value
1201609,993
1201709,994
1201809,993
1201909,994
1202009,995
1202109,994
1202209,994
1202309,993
1202409,994
1202509,994
1202609,993
1202709,994
1202809,994
1202909,993
1203009,994
1203109,994
1203209,994
1203309,994
1203409,994
1203509,993
1203609,992
1203709,993
1203809,994
1203909,993
1204009,993
1204109,993
1204209,993
1204309,993
1204409,993
1204509,992
1204609,994
1204709,993
1204809,994
1204909,993
1205009,994
1205109,993
1205209,993
1205309,992
1205409,993
1205509,992
1205609,993
1205709,993
1205809,994
1205909,993
1206009,994
1206109,993
1206209,994
1206309,993
1206409,992
1206509,994
1206609,994
1206709,994
1206809,994
1206909,993
1207009,994
1207109,994
1207209,994
1207309,993
1207409,993
1207509,994
1207609,993
1207709,993
1207809,994
1207909,993
1208009,993
1208109,993
1208209,994
1208309,994
1208409,994
1208509,993
1208609,994
1208709,993
1208809,994
1208909,994
1209009,994
1209109,992
1209209,993
1209309,993
1209409,993
1209509,994
1209609,994
1209709,994
1209809,993
1209909,993
1210009,993
1210109,994
1210209,994
1210309,993
1210409,993
1210509,994
1210609,994
1210709,993
1210809,994
1210909,994
1211009,993
1211109,993
1211209,994
1211309,994
1211409,993
1211509,993
1211609,992
1211709,993
1211809,993
1211909,994
1212009,994
1212109,993
1212209,993
1212309,993
1212409,993
1212509,994
1212609,993
1212709,993
1212809,992
1212909,993
1213009,993
1213109,992
1213209,994
1213309,992
1213409,993
1213509,993
1213609,993
1213709,993
1213809,994
1213909,993
1214009,993
1214109,993
1214209,994
1214309,993
1214409,993
1214509,993
1214609,994
1214709,993
1214809,993
1214909,993
1215009,993
1215109,994
1215209,994
1215309,994
1215409,992
1215509,994
1215609,993
1215709,993
1215809,994
1215909,993
1216009,993
1216109,993
1216209,993
1216309,994
1216409,993
1216509,994
1216609,994
1216709,994
1216809,993
1216909,994
1217009,994
1217109,993
1217209,993
1217309,993
1217409,993
1217509,993
1217609,993
1217709,993
1217809,994
1217909,993
1218009,993
1218109,993
1218209,993
1218309,993
1218409,993
1218509,992
1218609,993
1218709,993
1218809,993
1218909,994
1219009,993
1219109,994
1219209,994
1219309,994
1219409,993
1219509,993
1219609,994
1219709,994
1219809,993
1219909,994
1220009,994
1220109,994
1220209,993
1220309,993
1220409,993
1220509,994
1220609,993
1220709,993
1220809,994
1220909,993
1221009,993
1221109,993
1221209,993
1221309,992
1221409,993
1221509,994
1221609,993
1221709,993
1221809,993
1221909,994
1222009,993
1222109,994
1222209,993
1222309,993
1222409,994
1222509,993
1222609,994
1222709,992
1222809,992
1222909,993
1223009,993
1223109,994
1223209,993
1223309,993
1223409,994
1223509,993
1223609,992
1223709,994
1223809,993
1223909,994
1224009,993
1224109,993
1224209,994
1224309,992
1224409,994
1224509,993
1224609,993
1224709,992
1224809,992
1224909,993
1225009,993
1225109,993
1225209,993
1225309,992
1225409,993
1225509,993
1225609,992
1225709,994
1225809,993
1225909,993
1226009,993
1226109,993
1226209,993
1226309,993
1226409,994
1226509,993
1226609,993
1226709,994
1226809,992
1226909,994
1227009,994
1227109,994
1227209,993
1227309,992
1227409,993
1227509,993
1227609,993
1227709,993
1227809,993
1227909,993
1228009,993
1228109,994
1228209,993
1228309,993
1228409,993
1228509,993
1228609,994
1228709,993
1228809,993
1228909,992
1229009,993
1229109,993
1229209,993
1229309,993
1229409,993
1229509,994
1229609,993
1229709,993
1229809,992
1229909,993
1230009,993
1230109,994
1230209,994
1230309,993
1230409,992
1230509,993
1230609,995
1230709,994
1230809,992
1230909,993
1231009,994
1231109,993
1231209,993
1231309,993
1231409,993
1231509,993
1231609,993
1231709,993
1231809,994
1231909,994
1232009,993
1232109,993
1232209,993
1232309,993
1232409,993
1232509,992
1232609,994
1232709,993
1232809,993
1232909,993
1233009,992
1233109,992
1233209,993
1233309,992
1233409,993
1233509,994
1233609,994
1233709,992
1233809,993
1233909,994
1234009,993
1234109,993
1234209,993
1234309,993
1234409,993
1234509,992
1234609,993
1234709,993
1234809,993
1234909,993
1235009,993
1235109,993
1235209,993
1235309,993
1235409,993
1235509,993
1235609,992
1235709,993
1235809,994
1235909,992
1236009,994
1236109,993
1236209,993
1236309,993
1236409,992
1236509,994
1236609,993
1236709,993
1236809,993
1236909,993
1237009,992
1237109,994
1237209,993
1237309,993
1237409,994
1237509,993
1237609,994
1237709,993
1237809,993
1237909,993
1238009,992
1238109,993
1238209,993
1238309,994
1238409,993
1238509,993
1238609,993
1238709,993
1238809,993
1238909,993
1239009,993
1239109,994
1239209,993
1239309,994
1239409,993
1239509,993
1239609,993
1239709,993
1239809,993
1239909,993
1240009,994
1240109,992
1240209,993
1240309,993
1240409,994
1240509,993
1240609,992
1240709,994
1240809,994
1240909,991
1241009,992
1241109,992
1241209,993
1241309,994
1241409,994
1241509,993
1241609,993
1241709,992
1241809,993
1241909,992
1242009,994
1242109,993
1242209,993
1242309,993
1242409,993
1242509,993
1242609,994
1242709,993
1242809,993
1242909,993
1243009,994
1243109,993
1243209,993
1243309,993
1243409,993
1243509,994
1243609,993
1243709,993
1243809,993
1243909,994
1244009,994
1244109,993
1244209,993
1244309,992
1244409,993
1244509,993
1244609,993
1244709,993
1244809,994
1244909,993
1245009,993
1245109,994
1245209,992
1245309,992
1245409,993
1245509,992
1245609,993
1245709,993
1245809,993
1245909,993
1246009,992
1246109,994
1246209,993
1246309,993
1246409,992
1246509,993
1246609,993
1246709,992
1246809,993
1246909,993
1247009,993
1247109,992
1247209,993
1247309,993
1247409,993
1247509,993
1247609,992
1247709,994
1247809,993
1247909,993
1248009,993
1248109,992
1248209,993
1248309,993
1248409,994
1248509,992
1248609,993
1248709,993
1248809,993
1248909,994
1249009,993
1249109,994
1249209,994
1249309,993
1249409,993
1249509,993
1249609,993
1249709,993
1249809,994
1249909,994
1250009,993
1250109,993
1250209,992
1250309,994
1250409,994
1250509,994
1250609,994
1250709,994
1250809,993
1250909,993
1251009,993
1251109,992
1251209,992
1251309,994
1251409,992
1251509,993
1251609,994
1251709,994
1251809,994
1251909,992
1252009,992
1252109,993
1252209,992
1252309,993
1252409,993
1252509,993
1252609,994
1252709,993
1252809,992
1252909,992
1253009,994
1253109,992
1253209,993
1253309,992
1253409,993
1253509,993
1253609,993
1253709,993
1253809,993
1253909,993
1254009,993
1254109,993
1254209,993
1254309,993
1254409,993
1254509,993
1254609,993
1254709,993
1254809,993
1254909,993
1255009,993
1255109,992
1255209,993
1255309,993
1255409,994
1255509,993
1255609,993
1255709,993
1255809,993
1255909,992
1256009,993
1256109,993
1256209,992
1256309,994
1256409,993
1256509,993
1256609,993
1256709,993
1256809,993
1256909,993
1257009,993
1257109,993
1257209,993
1257309,993
1257409,993
1257509,994
1257609,993
1257709,993
1257809,993
1257909,992
1258009,993
1258109,993
1258209,994
1258309,993
1258409,994
1258509,994
1258609,994
1258709,993
1258809,992
1258909,994
1259009,993
1259109,993
1259209,993
1259309,993
1259409,994
1259509,993
1259609,993
1259709,993
1259809,993
1259909,994
1260009,993
1260109,993
1260209,993
1260309,993
1260409,992
1260509,992
1260609,993
1260709,992
1260809,994
1260909,992
1261009,993
1261109,992
1261209,993
1261309,994
1261409,994
1261509,993
1261609,994
1261709,992
1261809,992
1261909,992
1262009,992
1262109,992
1262209,993
1262309,993
1262409,993
1262509,992
1262609,993
1262709,993
1262809,992
1262909,993
1263009,992
1263109,993
1263209,993
1263309,993
1263409,992
1263509,993
1263609,993
1263709,993
1263809,993
1263909,993
1264009,993
1264109,993
1264209,992
1264309,994
1264409,993
1264509,992
1264609,994
1264709,993
1264809,993
1264909,993
1265009,993
1265109,993
1265209,994
1265309,992
1265409,993
1265509,994
1265609,992
1265709,993
1265809,993
1265909,993
1266009,993
1266109,993
1266209,993
1266309,993
1266409,993
1266509,993
1266609,993
1266709,994
1266809,993
1266909,993
1267009,992
1267109,993
1267209,993
1267309,993
1267409,993
1267509,992
